,genres,name,platform,score
3449,"Sports, Action",NBA Jam: On Fire Edition,PlayStation 3,9.0
3450,Sports,FIFA Soccer 12 [3DS Edition],Nintendo 3DS,7.0
3451,"Action, RPG",Dark Souls,PlayStation 3,9.0
3452,Sports,NBA 2K12,Xbox 360,9.5
3453,Sports,FIFA Soccer 12,Wii,6.0
3454,"Action, RPG",Dark Souls,Xbox 360,9.0
3455,Sports,NBA 2K12,PlayStation 3,9.5
3456,Action,X-Men: Destiny,PlayStation 3,5.5
3457,Action,X-Men: Destiny,Xbox 360,5.5
3458,Action,Bugs'N'Balls,Nintendo DSi,5.0
3459,Platformer,EscapeVektor: Chapter 1,Wii,9.0
3460,,Crystal Caverns of Amon-Ra,Nintendo DSi,5.0
3461,Action,Child of Eden,PlayStation 3,6.5
3462,Platformer,Super Mario Land 2,Nintendo 3DS,9.0
3463,"Action, Adventure",Resident Evil -- CODE: Veronica X HD,PlayStation 3,5.0
3464,"Action, Adventure",Castlevania: Harmony of Despair,PlayStation 3,7.5
3465,"Action, Adventure",Resident Evil -- CODE: Veronica X HD,Xbox 360,5.0
3466,Shooter,Shadowgun,iPhone,7.0
3467,RPG,Solatorobo: Red The Hunter,Nintendo DS,8.0
3468,Platformer,Blocks That Matter,PC,8.5
3469,"Action, Compilation",Tom Clancy's Splinter Cell Classic Trilogy HD,PlayStation 3,6.5
3470,RPG,Rise of Immortals,PC,4.0
3471,"Puzzle, Action",Where's My Water?,iPhone,9.0
3472,Racing,Trackmania 2: Canyon,PC,8.5
3473,"Action, Compilation",Bit.Trip Complete,Wii,8.0
3474,Simulation,Harvest Moon DS: The Tale of Two Towns,Nintendo DS,6.0
3475,Action,Bit.Trip Saga,Nintendo 3DS,8.0
3476,Sports,FIFA Soccer 12,PlayStation 3,9.5
3477,Sports,FIFA Soccer 12,Xbox 360,9.5
3478,Action,Rochard,PlayStation 3,8.5
3479,RPG,Persona 2: Innocent Sin,PlayStation Portable,8.0
3480,Racing,Burnout Crash,Xbox 360,7.5
3481,Strategy,Break Tactics,Nintendo DSi,4.0
3482,Shooter,3D Classics: TwinBee,Nintendo 3DS,6.0
3483,RPG,Fallout: New Vegas -- Lonesome Road,PC,6.5
3484,RPG,Fallout: New Vegas -- Lonesome Road,Xbox 360,6.5
3485,,Aya and the Cubes of Light,Wii,7.0
3486,Racing,Burnout Crash,PlayStation 3,7.5
3487,RPG,Fallout: New Vegas -- Lonesome Road,PlayStation 3,6.5
3488,"Puzzle, Action",Escape Trick: Ninja Castle,Nintendo DSi,4.5
3489,Simulation,The Sims Medieval: Pirates and Nobles,PC,5.5
3490,Action,Roboto,iPhone,5.5
3491,Fighting,Supremacy MMA,Xbox 360,5.0
3492,Adventure,Another World,iPhone,9.0
3493,Shooter,Red Orchestra 2: Heroes of Stalingrad,PC,8.0
3494,Shooter,Renegade Ops,Xbox 360,8.5
3495,"Action, Adventure",Resident Evil 4 HD,PlayStation 3,8.5
3496,Puzzle,Quarrel,iPhone,9.0
3497,Puzzle,Swing the Bat,iPhone,6.0
3498,Shooter,Renegade Ops,PlayStation 3,8.5
3499,Action,Rock of Ages,PC,7.5
3500,Action,Rock of Ages,Xbox 360,7.5
3501,"Puzzle, Action",Early Bird,iPhone,8.0
3502,Strategy,Achron,PC,5.0
3503,Strategy,Kirby: Mass Attack,Nintendo DS,8.5
3504,"Racing, Action",MotoHeroz,Wii,9.0
3505,RPG,Dragon Quest Monsters: Joker 2,Nintendo DS,8.5
3506,Puzzle,4 Elements HD,PlayStation 3,7.5
3507,Shooter,Call of Juarez: The Cartel,PC,4.5
3508,Racing,F1 2011,PlayStation 3,8.5
3509,Racing,F1 2011,Xbox 360,8.5
3510,Sports,NHL 12,PlayStation 3,8.5
3511,Shooter,Gears of War 3,Xbox 360,9.0
3512,Card,Bridge,Nintendo DSi,5.5
3513,"Card, Battle",Samurai Bloodshow,iPhone,7.0
3514,Action,Mega Man: Dr. Wily's Revenge,Nintendo 3DS,7.5
3515,Strategy,Defense of the Middle Kingdom,Nintendo DSi,8.0
3516,Action,The Gunstringer,Xbox 360,8.0
3517,Adventure,Machinarium,iPad,8.5
3518,Shooter,Radiant Silvergun,Xbox 360,9.0
3519,Strategy,Tropico 4,PC,8.5
3520,Shooter,Hard Reset,PC,7.5
3521,Sports,NHL 12,Xbox 360,8.5
3522,Simulation,Grand Prix Story,iPhone,8.5
3523,Action,Sprinkle,iPhone,7.0
3524,"Racing, Action",Skydrift,PlayStation 3,8.0
3525,"Racing, Action",Skydrift,Xbox 360,8.0
3526,Strategy,Men Of War: Vietnam,PC,7.0
3527,Racing,DotMan,Nintendo DSi,7.5
3528,Shooter,Infinity Field,iPhone,8.5
3529,Sports,Golf [Game Boy],Nintendo 3DS,6.0
3530,Shooter,"Warhammer 40,000: Space Marine",Xbox 360,7.5
3531,Puzzle,Leedmees,Xbox 360,7.0
3532,Puzzle,Puzzle Rocks,Nintendo DSi,5.5
3533,Simulation,Paint Splash,Wii,8.0
3534,Shooter,"Warhammer 40,000: Space Marine",PlayStation 3,7.5
3535,Shooter,"Warhammer 40,000: Space Marine",PC,7.5
3536,"Adventure, Compilation",The Ico & Shadow of the Colossus Collection,PlayStation 3,8.5
3537,Strategy,Anomaly: Warzone Earth,iPad,8.5
3538,Adventure,Rise of Nightmares,Xbox 360,4.0
3539,Action,Dead Island,PC,8.0
3540,"Flight, Simulation",IL-2 Sturmovik: Cliffs of Dover,PC,6.0
3541,"Racing, Action",Driver: San Francisco,Wii,7.0
3542,"Strategy, RPG",Disgaea 4: A Promise Unforgotten,PlayStation 3,8.5
3543,Shooter,Resistance 3,PlayStation 3,9.0
3544,Action,Dead Island,Xbox 360,8.0
3545,Action,Dead Island,PlayStation 3,8.0
3546,"Action, RPG",The Baconing,PC,6.0
3547,"Action, Adventure",BloodRayne: Betrayal,PlayStation 3,9.0
3548,Shooter,Serious Sam: Double D,PC,7.0
3549,"Puzzle, Adventure",Spy Mouse,iPhone,7.0
3550,Flight,Star Fox 64 3D,Nintendo 3DS,9.0
3551,Sports,GO Series: Fishing Resort,Nintendo DSi,6.5
3552,"Action, RPG",The Baconing,Xbox 360,6.0
3553,Adventure,Hamilton's Great Adventure,PlayStation 3,7.0
3554,Action,Pac-Man,Nintendo 3DS,5.0
3555,Simulation,House M.D. -- Episode 2: Blue Meanie,Nintendo DSi,4.0
3556,Strategy,Trenches Generals,Wii,6.0
3557,Simulation,From Dust,PC,8.5
3558,"Fighting, Compilation",Mortal Kombat Arcade Kollection,Xbox 360,6.0
3559,"Action, RPG",The Baconing,PlayStation 3,6.0
3560,Platformer,Jetpack Joyride,iPhone,9.0
3561,"Fighting, Compilation",Mortal Kombat Arcade Kollection,PlayStation 3,6.0
3562,Sports,Rugby Challenge,PlayStation 3,7.0
3563,Adventure,Hector: Badge of Carnage -- Episode 2,iPad,7.5
3564,Action,Contre Jour,iPhone,8.0
3565,Adventure,Hector: Badge of Carnage -- Episode 2,PC,7.5
3566,Sports,Jonah Lomu Rugby Challenge,Xbox 360,7.0
3567,Sports,Madden NFL 12,Wii,7.0
3568,Action,Bodycount,Xbox 360,6.0
3569,Shooter,Bodycount,PlayStation 3,6.0
3570,"Action, Compilation",God of War Origins,PlayStation 3,9.0
3571,"Racing, Action",Driver: San Francisco,Xbox 360,8.0
3572,"Racing, Action",Driver: San Francisco,PC,8.0
3573,Sports,Madden NFL 12,Xbox 360,8.0
3574,"Racing, Action",Driver: San Francisco,PlayStation 3,8.0
3575,Sports,Jerry Rice & Nitus' Dog Football,Wii,7.0
3576,Adventure,Magical Whip: Wizards of Phantasmal Forest,Nintendo DSi,8.0
3577,Productivity,Calculator,Nintendo DSi,7.0
3578,Sports,Madden NFL 12,PlayStation 3,8.0
3579,"Sports, Simulation",Inazuma Eleven,Nintendo DS,7.5
3580,Action,The Ignition Factor,Wii,7.0
3581,Simulation,Let's Create! Pottery,Nintendo DSi,6.0
3582,"Puzzle, Action",Hole In The Wall,Xbox 360,5.0
3583,"Action, Adventure",Gargoyle's Quest,Nintendo 3DS,8.5
3584,Platformer,NyxQuest: Kindred Spirits,iPhone,7.5
3585,Strategy,Age of Empires Online,PC,7.0
3586,Action,Pickpawcket,iPhone,6.5
3587,RPG,Shin Megami Tensei: Devil Survivor Overclocked,Nintendo 3DS,7.5
3588,Action,Defy Gravity Extended,PC,8.0
3589,Shooter,Deus Ex: Human Revolution,PC,9.0
3590,Fighting,Street Fighter III: Third Strike -- Online Edition,PlayStation 3,9.0
3591,Sports,Rugby World Cup 2011,PlayStation 3,5.0
3592,"Action, RPG",Bastion,PC,9.0
3593,Sports,Rugby World Cup 2011,Xbox 360,5.0
3594,Shooter,Deus Ex: Human Revolution,PlayStation 3,9.0
3595,Fighting,Street Fighter III: Third Strike -- Online Edition,Xbox 360,9.0
3596,Shooter,Deus Ex: Human Revolution,Xbox 360,9.0
3597,Strategy,Taco Master,iPhone,6.5
3598,Puzzle,Blockado: Puzzle Island,Nintendo DSi,6.0
3599,Simulation,Build-A-Lot,Nintendo DSi,6.5
3600,Simulation,Flight Control,Wii,8.0
3601,Puzzle,Zoonies: Escape from Makatu,Nintendo DSi,8.0
3602,Puzzle,iBlast Moki 2,iPhone,8.0
3603,Fighting,3D Classics: Urban Champion,Nintendo 3DS,2.5
3604,Action,Temple Run,iPhone,7.5
3605,Action,El Shaddai: Ascension of the Metatron,Xbox 360,5.0
3606,"Strategy, RPG",Pirates of Black Cove,PC,5.5
3607,Action,El Shaddai: Ascension of the Metatron,PlayStation 3,5.0
3608,Shooter,Toy Soldiers: Cold War,Xbox 360,8.5
3609,Action,No More Heroes: Heroes' Paradise,PlayStation 3,7.5
3610,Simulation,From Dust,PlayStation 3,8.5
3611,Strategy,Mega Mall Story,iPhone,9.0
3612,"Action, RPG",Chantelise: A Tale of Two Sisters,PC,5.0
3613,Action,The Last Rocket,iPhone,7.0
3614,Strategy,Trapped Dead,PC,4.0
3615,Action,Black Prophecy,PC,7.5
3616,"Puzzle, Action",Crazy Hamster,Nintendo DSi,6.0
3617,"Puzzle, Action",Gesundheit,iPhone,9.5
3618,Action,Avenging Spirit,Nintendo 3DS,7.0
3619,"Action, Adventure",Go! Go! Kokopolo: Harmonious Forest Revenge,Nintendo DSi,8.5
3620,Simulation,My Asian Farm,Nintendo DSi,5.0
3621,"Action, Adventure",Kyotokei,Wii,7.5
3622,Adventure,Super Adventure Island 2,Wii,8.0
3623,Strategy,Siege Hero,iPhone,7.5
3624,Shooter,Cowboys & Aliens: Silver City Defense,iPhone,2.0
3625,Simulation,Trauma,PC,7.0
3626,Action,Fruit Ninja Kinect,Xbox 360,5.5
3627,Action,Ninja Fishing,iPhone,8.0
3628,"Puzzle, Action",Pollen Count,iPhone,7.0
3629,Shooter,E.Y.E.: Divine Cybermancy,PC,5.0
3630,Racing,Monochrome Racing,Wii,3.0
3631,Puzzle,Cut The Rope: Experiments,iPhone,9.0
3632,Shooter,B Team - Episode 2: Ice & Venom,Nintendo DSi,6.5
3633,Puzzle,Mario's Picross,Nintendo 3DS,8.5
3634,Action,Go Fetch! 2,Nintendo DSi,6.0
3635,Productivity,Play & Learn Spanish,Nintendo DSi,6.0
3636,Shooter,Galaga Legions DX,PlayStation 3,6.5
3637,Shooter,"Warhammer 40,000: Kill Team",PlayStation 3,6.5
3638,Strategy,Quest Runner,iPhone,7.0
3639,Shooter,Section 8: Prejudice,PlayStation 3,6.0
3640,RPG,Dragon Age II -- Legacy,Xbox 360,6.5
3641,RPG,Dragon Age II -- Legacy,PlayStation 3,6.5
3642,RPG,Dragon Age II -- Legacy,PC,6.5
3643,Platformer,Limbo,PC,9.0
3644,Puzzle,Burn the Rope,Wii,6.0
3645,Strategy,Jet Set Go,iPhone,7.0
3646,Action,Pac-Man & Galaga Dimensions,Nintendo 3DS,5.0
3647,Shooter,Insanely Twisted Shadow Planet,Xbox 360,8.0
3648,"Music, Action",Groove Coaster,iPhone,9.5
3649,"Action, Adventure",Sid Meier's Pirates!,iPhone,9.0
3650,RPG,Runespell: Overture,PC,6.5
3651,Action,Cartoon Network: Punch Time Explosion,Nintendo 3DS,4.5
3652,Sports,Let's Golf 3D,Nintendo 3DS,9.0
3653,Action,Brawl Brothers,Wii,7.0
3654,RPG,Dungeons of Dredmor,PC,8.5
3655,Fighting,Bleach: Soul Resurreccion,PlayStation 3,7.0
3656,Strategy,One Man Army,iPhone,6.0
3657,Platformer,Tobe's Vertical Adventure,PC,8.0
3658,Adventure,Oscar's World Tour,Nintendo DSi,5.0
3659,Simulation,My Australian Farm,Nintendo DSi,5.0
3660,Action,Go Series: Portable Shrine Wars,Nintendo DSi,9.0
3661,Shooter,Zombie Gunship,iPhone,9.0
3662,Adventure,Back to the Future: The Game -- Episode 5: Outatime,PlayStation 3,7.0
3663,Simulation,From Dust,Xbox 360,8.5
3664,Racing,Dream Track Nation,iPhone,8.0
3665,Sports,Stickman BMX,iPhone,6.0
3666,Adventure,Harry Potter and the Deathly Hallows: Part 2,PlayStation 3,5.5
3667,Adventure,Catherine,PlayStation 3,9.0
3668,"Fighting, Action",Deadliest Warrior: Legends,PlayStation 3,7.0
3669,RPG,Fallout: New Vegas -- Old World Blues,PlayStation 3,8.0
3670,RPG,Fallout: New Vegas -- Old World Blues,Xbox 360,8.0
3671,RPG,Fallout: New Vegas -- Old World Blues,PC,8.0
3672,Puzzle,"Aww, Eggplant",iPhone,7.5
3673,RPG,Cthulhu Saves the World,PC,8.0
3674,Action,Kung Fu Dragon,Nintendo DSi,7.0
3675,Sports,Trollboarder,Nintendo DSi,3.0
3676,Shooter,3D Classics: Xevious,Nintendo 3DS,8.0
3677,"Puzzle, Adventure",Bobby Carrot Forever,Wii,7.0
3678,RPG,World of Tanks,PC,7.5
3679,Racing,Pixel Racer,iPhone,5.5
3680,Adventure,Harry Potter and the Deathly Hallows: Part 2,Wii,5.5
3681,Trivia,Quiz Climber,iPhone,6.5
3682,Platformer,Limbo,PlayStation 3,9.0
3683,Shooter,"Warhammer 40,000: Kill Team",Xbox 360,6.5
3684,"Action, RPG",Bastion,Xbox 360,9.0
3685,Action,Captain America: Super Soldier,Nintendo DS,5.5
3686,Shooter,Call of Juarez: The Cartel,PlayStation 3,4.5
3687,Shooter,Call of Juarez: The Cartel,Xbox 360,4.5
3688,Action,Captain America: Super Soldier,Wii,5.5
3689,Racing,Proun,PC,8.0
3690,Racing,3D Pixel Racing,Wii,6.0
3691,Simulation,AfterZoom,Nintendo DSi,7.5
3692,Music,Just SING! 80s Collection,Nintendo DSi,5.0
3693,Compilation,Game & Watch Gallery,Nintendo 3DS,8.0
3694,Sports,Baseball [Game Boy],Nintendo 3DS,5.0
3695,Puzzle,Puzzle Fever,Nintendo DSi,7.5
3696,Trivia,Extreme Hangman 2,Nintendo DSi,6.5
3697,Action,Captain America: Super Soldier,Xbox 360,5.0
3698,Action,Captain America: Super Soldier,PlayStation 3,5.0
3699,Sports,UFC Personal Trainer: The Ultimate Fitness System,Wii,4.0
3700,Adventure,Catherine,Xbox 360,9.0
3701,Adventure,L.A. Noire: Reefer Madness,Xbox 360,6.0
3702,"Puzzle, Action",Boulder Dash-XL,Xbox 360,8.0
3703,Adventure,L.A. Noire: Reefer Madness,PlayStation 3,6.0
3704,Action,Solar 2,PC,8.0
3705,Strategy,Swords & Soldiers,iPhone,8.5
3706,Adventure,Harry Potter and the Deathly Hallows: Part 2,Xbox 360,5.5
3707,Adventure,Dead Block,Xbox 360,3.5
3708,RPG,Gods & Heroes: Rome Rising,PC,4.0
3709,Action,Transformers: Dark of the Moon,iPad,6.0
3710,Action,The Earth Defense Force: Insect Armageddon,PlayStation 3,7.5
3711,Action,Ms. Splosion Man,Xbox 360,9.0
3712,Action,The Earth Defense Force: Insect Armageddon,Xbox 360,7.5
3713,Sports,NCAA Football 12,Xbox 360,8.5
3714,Sports,NCAA Football 12,PlayStation 3,8.5
3715,"Puzzle, Action",Burn the City,iPhone,6.5
3716,"Sports, Action",MLB Bobblehead Pros,Xbox 360,7.5
3717,Action,Playstation Move: Ape Escape,PlayStation 3,4.0
3718,Fighting,Super Street Fighter IV: Arcade Edition,PC,8.5
3719,Puzzle,Jewel Keepers: Easter Island,Nintendo DSi,6.0
3720,Music,Just Jam,Wii,7.5
3721,Simulation,Make-Up & Style,Nintendo DSi,4.0
3722,Strategy,Farm Frenzy,Nintendo DSi,4.0
3723,"Fighting, Action",Deadliest Warrior: Legends,Xbox 360,7.0
3724,RPG,Half-Minute Hero: Super Mega Neo Climax Edition,Xbox 360,8.0
3725,"Strategy, RPG",Record of Agarest War Zero,Xbox 360,6.5
3726,"Strategy, RPG",Record of Agarest War Zero,PlayStation 3,6.5
3727,Action,Green Lantern: Rise of the Manhunters,Nintendo DS,5.5
3728,Adventure,Mystery Case Files: The Malgrave Incident,Wii,5.5
3729,Shooter,Galaga Legions DX,Xbox 360,6.5
3730,Puzzle,Puzzle Dimension,PlayStation 3,8.0
3731,Action,The Mooniacs,iPhone,7.5
3732,Sports,UFC Personal Trainer: The Ultimate Fitness System,PlayStation 3,4.5
3733,Action,Dynasty Warriors: Gundam 3,PlayStation 3,4.0
3734,Sports,UFC Personal Trainer: The Ultimate Fitness System,Xbox 360,6.5
3735,Action,Dynasty Warriors: Gundam 3,Xbox 360,4.0
3736,RPG,Final Fantasy III (SNES),Wii,9.5
3737,Platformer,Kirby's Dream Land,Nintendo 3DS,8.0
3738,Shooter,Big Town Shoot Out,Wii,6.0
3739,Sports,Backbreaker Vengeance,Xbox 360,4.5
3740,Action,Boardwalk Ball Toss,Nintendo DSi,3.5
3741,Card,Hearts Spades Euchre,Nintendo DSi,7.5
3742,"Action, RPG",The Lost Town: The Dust,Nintendo DSi,8.0
3743,Racing,Moto Extreme,Nintendo DSi,6.0
3744,Action,Transformers: Dark of the Moon -- Stealth Force Edition,Nintendo 3DS,2.5
3745,Shooter,Sniper: Ghost Warrior,PlayStation 3,4.5
3746,Action,Mega Man 5,Wii,8.5
3747,Action,BackStab,iPad,4.5
3748,Shooter,Jamestown: Legend of the Lost Colony,PC,8.5
3749,Action,Transformers: Dark of the Moon -- Stealth Force Edition,Wii,2.5
3750,Shooter,Gatling Gears,PlayStation 3,8.5
3751,Adventure,Back to the Future: The Game,PC,7.5
3752,Action,Resident Evil: The Mercenaries 3D,Nintendo 3DS,6.5
3753,Platformer,Donkey Kong,Nintendo 3DS,8.5
3754,Shooter,Alien Zombie Megadeath,PlayStation 3,8.5
3755,Platformer,1-bit Ninja,iPhone,8.0
3756,Action,Angry Business Man,iPhone,5.5
3757,"Card, Battle",Magic: The Gathering -- Duels of the Planeswalkers 2012,PC,8.5
3758,Adventure,Back to the Future: The Game -- Episode 5: Outatime,PC,7.0
3759,"Puzzle, Action",Delbo,Nintendo DSi,5.5
3760,"Puzzle, Adventure",The Mystery of Whiterock Castle,Wii,7.0
3761,Platformer,Pro Jumper! Guilty Gear Tangent,Nintendo DSi,7.0
3762,Sports,Tennis [Game Boy],Nintendo 3DS,6.0
3763,Puzzle,Continuity 2,iPhone,8.0
3764,Puzzle,Kona's Crate,iPad,8.0
3765,Board,Stratego: Next Edition,Nintendo DSi,7.5
3766,Adventure,Wizardry: The Labyrinth of Lost Souls,PlayStation 3,5.5
3767,"Racing, Action",Cars 2,PlayStation 3,8.0
3768,"Racing, Action",Cars 2,Xbox 360,8.0
3769,Party,Wii Play: Motion,Wii,4.0
3770,Party,Wipeout In the Zone,Xbox 360,7.0
3771,"Racing, Action",Cars 2,Wii,8.0
3772,"Racing, Action",Cars 2,Nintendo DS,6.5
3773,Action,Iron Brigade,Xbox 360,9.0
3774,Action,Green Lantern: Rise of the Manhunters,Nintendo 3DS,4.5
3775,Adventure,Shadows of the Damned,PlayStation 3,7.0
3776,Shooter,F.E.A.R. 3,PC,8.0
3777,RPG,Dungeon Siege III,PlayStation 3,6.5
3778,RPG,Dungeon Siege III,PC,6.5
3779,Adventure,Shadows of the Damned,Xbox 360,7.0
3780,Shooter,F.E.A.R. 3,PlayStation 3,8.0
3781,RPG,Dungeon Siege III,Xbox 360,6.5
3782,Adventure,Back to the Future: The Game -- Episode 4: Double Visions,PlayStation 3,6.5
3783,Action,Green Lantern: Rise of the Manhunters,Wii,5.5
3784,Adventure,Back to the Future: The Game -- Episode 3: Citizen Brown,PlayStation 3,7.5
3785,Shooter,F.E.A.R. 3,Xbox 360,8.0
3786,Adventure,Back to the Future: The Game -- Episode 4: Double Visions,PC,6.5
3787,Platformer,Cubic Ninja,Nintendo 3DS,5.5
3788,Adventure,Akimi Village,PlayStation 3,6.5
3789,Fighting,BlazBlue: Continuum Shift II,PlayStation Portable,7.5
3790,Action,Transformers: Dark of the Moon -- Decepticons,Nintendo DS,5.0
3791,"Flight, Simulation",DCS: A-10C Warthog,PC,8.0
3792,Simulation,Grand Prix Story,Android,8.5
3793,Action,Transformers: Dark of the Moon -- Autobots,Nintendo DS,5.0
3794,Fighting,BlazBlue: Continuum Shift II,Nintendo 3DS,4.5
3795,"Action, Adventure",The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,9.5
3796,Action,Alice: Madness Returns,PC,6.5
3797,Puzzle,Feed Me Oil,iPhone,9.0
3798,Action,Alleyway,Nintendo 3DS,6.0
3799,Action,Radar Mission,Nintendo 3DS,6.5
3800,Action,Transformers: Dark of the Moon,PlayStation 3,6.0
3801,"Puzzle, Action",Critical Mass,PC,8.0
3802,Strategy,Under Siege,PlayStation 3,5.0
3803,Platformer,Super Mario Land,Nintendo 3DS,7.5
3804,Action,Transformers: Dark of the Moon,Xbox 360,6.0
3805,Board,Ticket to Ride,iPad,8.5
3806,Strategy,Frozen Synapse,PC,8.5
3807,Action,Alice: Madness Returns,Xbox 360,6.5
3808,"Action, Adventure",The Legend of Zelda: Link's Awakening DX,Nintendo 3DS,9.5
3809,Action,Alice: Madness Returns,PlayStation 3,6.5
3810,Action,Green Lantern: Rise of the Manhunters,Xbox 360,6.0
3811,Shooter,Duke Nukem Forever,PC,5.5
3812,Action,Green Lantern: Rise of the Manhunters,PlayStation 3,6.0
3813,Action,Outland,PlayStation 3,9.0
3814,Fighting,Super Street Fighter IV: Arcade Edition,PlayStation 3,8.0
3815,Action,Child of Eden,Xbox 360,8.5
3816,Racing,3D Classics: Excitebike,Nintendo 3DS,8.0
3817,Shooter,Duke Nukem Forever,PlayStation 3,5.5
3818,RPG,Fallout: New Vegas -- Honest Hearts,PlayStation 3,7.5
3819,Shooter,Velocispider,iPhone,7.5
3820,Action,Red Faction: Armageddon,PC,7.0
3821,Shooter,Duke Nukem Forever,Xbox 360,5.5
3822,Fighting,Super Street Fighter IV: Arcade Edition,Xbox 360,8.0
3823,"Action, RPG",Hunted: The Demon's Forge,PC,6.0
3824,Sports,Tecmo Bowl Throwback [Mobile],iPhone,5.0
3825,"Action, RPG",Hunted: The Demon's Forge,Xbox 360,6.0
3826,"Action, RPG",Hunted: The Demon's Forge,PlayStation 3,6.0
3827,Platformer,Storm in a Teacup,iPhone,7.0
3828,Action,Red Faction: Armageddon,Xbox 360,7.0
3829,Action,Red Faction: Armageddon,PlayStation 3,7.0
3830,Action,Kung Fu Panda 2,Wii,3.0
3831,Simulation,The Sims 3: Generations,PC,7.0
3832,Action,Garshasp,PC,5.0
3833,Action,Kung Fu Panda 2,Nintendo DS,6.0
3834,Action,Infamous 2,PlayStation 3,9.0
3835,Action,Kung Fu Panda 2,PlayStation 3,3.5
3836,Action,Kung Fu Panda 2,Xbox 360,6.5
3837,Adventure,Cargo! The Quest for Gravity,PC,5.5
3838,"Card, Battle",Yu-Gi-Oh! 5D's World Championship 2011: Over The Nexus,Nintendo DS,6.5
3839,Puzzle,Casey's Contraptions,iPad,8.0
3840,Racing,SBK 2011,Xbox 360,7.0
3841,Racing,SBK 2011,PlayStation 3,7.0
3842,Strategy,Two Worlds II: Castle Defense,PC,6.5
3843,Shooter,Who's That Flying!?,iPad,8.0
3844,Strategy,Revenge of The Titans,PC,7.0
3845,"Action, RPG",Chrono Trigger,Wii,10.0
3846,"Action, RPG",Terraria,PC,9.0
3847,Strategy,Two Worlds II: Castle Defense,iPhone,6.5
3848,Action,99Bullets,Nintendo DSi,8.0
3849,Racing,MX vs. ATV Alive,Xbox 360,6.5
3850,Racing,NASCAR The Game 2011,Wii,4.5
3851,RPG,The Witcher 2: Assassins of Kings,PC,9.0
3852,Racing,Dirt 3,PC,8.5
3853,"Action, Adventure",The First Templar,PC,4.0
3854,Racing,MX vs. ATV Alive,PlayStation 3,6.5
3855,Action,Fortix 2,PC,7.5
3856,Racing,Dirt 3,Xbox 360,8.5
3857,RPG,Mount & Blade: With Fire & Sword,PC,7.5
3858,Racing,Dirt 3,PlayStation 3,8.5
3859,Fighting,Dead or Alive Dimensions,Nintendo 3DS,8.0
3860,Platformer,Bumpy Road,iPhone,9.0
3861,Platformer,Capsized,PC,8.5
3862,Shooter,Dream Trigger 3D,Nintendo 3DS,6.0
3863,"Action, Adventure",The First Templar,Xbox 360,4.0
3864,RPG,Fallout: New Vegas -- Honest Hearts,Xbox 360,7.5
3865,RPG,Fallout: New Vegas -- Honest Hearts,PC,7.5
3866,Adventure,LEGO Pirates of the Caribbean: The Video Game,PlayStation Portable,7.5
3867,RPG,Fable III,PC,6.0
3868,Shooter,Brink,PlayStation 3,6.0
3869,RPG,Faery: Legends Of Avalon,PC,7.0
3870,Music,Pulse: Volume One,iPad,8.0
3871,Adventure,L.A. Noire,Xbox 360,8.5
3872,Action,Mr. Ninja,iPhone,8.5
3873,Adventure,L.A. Noire,PlayStation 3,8.5
3874,Action,Army of Darkness: Defense,iPhone,7.5
3875,Adventure,Hector: Badge of Carnage -- Episode 1: We Negotiate with Terrorists,iPad,7.5
3876,Shooter,Yar's Revenge,PC,5.5
3877,Adventure,LEGO Pirates of the Caribbean: The Video Game,Wii,7.5
3878,Adventure,Black Mirror III: Final Fear,PC,7.5
3879,Sports,Virtua Tennis 4,PlayStation 3,7.0
3880,Adventure,LEGO Pirates of the Caribbean: The Video Game,Nintendo 3DS,8.0
3881,Adventure,LEGO Pirates of the Caribbean: The Video Game,Nintendo DS,7.5
3882,Sports,Virtua Tennis 4,Wii,7.0
3883,Shooter,Gatling Gears,Xbox 360,8.5
3884,Sports,Virtua Tennis 4,Xbox 360,7.0
3885,"Action, Adventure",Thor: God of Thunder,PlayStation 3,3.0
3886,"Action, Adventure",Thor: God of Thunder,Xbox 360,3.0
3887,Puzzle,Gears,iPhone,8.0
3888,Shooter,Who's That Flying!?,iPhone,8.0
3889,Shooter,Brink,PC,6.5
3890,Adventure,LEGO Pirates of the Caribbean: The Video Game,Xbox 360,7.5
3891,Adventure,Hector: Badge of Carnage -- Episode 1: We Negotiate with Terrorists,PC,7.5
3892,"Puzzle, Action",Mighty Milky Way,Nintendo DSi,8.5
3893,Adventure,LEGO Pirates of the Caribbean: The Video Game,PlayStation 3,7.5
3894,RPG,Zenonia 3: The Midgard Story,iPhone,6.5
3895,Action,Golden Axe II,iPhone,6.0
3896,Shooter,Brink,Xbox 360,6.0
3897,Shooter,Bangai-O HD: Missile Fury,Xbox 360,8.5
3898,Action,Rival Turf,Wii,4.0
3899,Racing,TrackMania: Build to Race,Wii,7.0
3900,Shooter,Section 8: Prejudice,PC,6.0
3901,Puzzle,RoboSockets,iPhone,8.5
3902,Action,Moon Diver,Xbox 360,7.0
3903,Action,Chicken Balls,iPhone,7.5
3904,"Action, Adventure",Thor: God of Thunder,Wii,6.0
3905,Platformer,Thor: God of Thunder,Nintendo DS,8.0
3906,Action,Your Doodles Are Bugged,PC,7.5
3907,Action,Air Penguin,iPhone,8.0
3908,Virtual Pet,Fantastic Pets,Xbox 360,7.5
3909,Music,Dance Dance Revolution [2010],Xbox 360,6.5
