,date,game,platform,score
384,2017-04-24,Cosmic Star Heroine,"Mac OS,PC,PS4,PSVita,Xbox One",7.5
385,2017-04-24,Puyo Puyo Tetris,"3DS,PC,PS4,PSVita,Switch,Xbox One",9.5
386,2017-04-24,Danganronpa 1*2 Reload,PS4,9
387,2017-04-24,What Remains of Edith Finch,"PC,PS4,Xbox One",9
388,2017-04-21,Little Nightmares,"PC,PS4,Xbox One",8.5
389,2017-04-20,Urban Trial Freestyle 2,3DS,6
390,2017-04-20,Rick and Morty: Virtual Rick-ality,"PC,PS4",7
391,2017-04-20,"Warhammer 40,000: Dawn of War III",PC,7.5
392,2017-04-20,Mario Kart 8 Deluxe,Switch,9.5
393,2017-04-18,Call of Duty: Infinite Warfare: Continuum,"PC,PS4,Xbox One",6.5
394,2017-04-18,Full Throttle Remastered,"PC,PS4,PSVita",9
395,2017-04-18,Bye-Bye BoxBoy!,"3DS,Android",7
396,2017-04-18,Late Shift,PS4,5
397,2017-04-18,Flinthook,"PC,PS4,Switch,Xbox One",8.5
398,2017-04-18,Guardians of the Galaxy: The Telltale Series,"Android,iPhone,PC,PS4,Xbox One",6.5
399,2017-04-18,Shiness: The Lightning Kingdom,"PC,PS4,Xbox One",6.5
400,2017-04-18,The Disney Afternoon Collection,"PC,PS4,Xbox One",8
